ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g94,g96,g97,g99,g98,b1,b3,g46,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a22,a24,a25,a29,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_vii,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxii,a15_xxiii,a15_xxiv,g67,g73,g74,f7,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative,d8_i,d8_ii,d8_iii,d8_iv,d8_v,d8_vi,d8_vii,d8_viii
Ninewa,Al-Hatra,5.762711864,5.762711864,47.5886684,50.698868,1.7124636,18.6440678,18.6440678,48.8467136,51.1532864,87.804878,87.804878,94.9152542,1.6949153,2.4390244,12.195122,60,0,20,0,0,0,0,0,0,20,0,20,0,0,6.666666667,21.0526316,42.8571429,0,0,42.8571429,28.5714286,57.1428571,0,66.1016949,5.0847458,0,100,0,0,62.7118644,93.220339,62.7118644,93.220339,68,6,0,4,0,0,0,40,30,4,0,86.440678,33.8983051,10.1694915,1.6949153,6.779661,11.8644068,84.7457627,98.3050847,28.8135593,76.2711864,98.3050847,89.8305085,81.3559322,81.8181818,39.5833333,94.9152542,52.5423729,74.5762712,18.6440678,0,89.8305085,11.8644068,54.2372881,54.2372881,5.0847458,5.2631579,69.4915254,12.0689655,0,14.2857143,0,0,85.7142857,0,0,0,0,0,44.0677966,3.3898305,28.8135593,1.6949153,28.8135593,0,16.6666667,0,0,0,0,89.8305085,89.8305085,1.6949153,0,0,0,0,0,0,0,0,45.7627119,16.9491525,100,96,91.6666667,33.3333333,0,0,66.6666667,0,66.6666667,33.3333333,0,0,0,0,0,0,0,0,3.6363636,0,0,1.8181818,0,0,0,0,1.8181818,41.8181818,47.2727273,52.7272727,5.4545455,23.6363636,0,10.9090909,0,1.8181818,1.8181818,23.6363636,50.9090909,0,0,0,56.3636364,0,25.4237288,0,0,0,45.7627119,77.9661017,6.779661,8.4745763,5.0847458,33.8983051,61.0169492,0,22.0338983,0,0,8.4745763,83.0508475,38.9830508,13.559322,59.3220339,3.3898305,1.6949153,6.779661,32.2033898,3.3898305,0,52.5423729,57.6271186,49.1525424,57.6271186,8.4745763,23.7288136,15.2542373,0,0,0,0,0,0,0,0,1.6949153,0,100,100,0,0,0,0,0,0,0,100,0,0,0,5.0847458,1,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Mosul,6.017241379,5.948275862,44.0406193,54.1634036,1.795977,10.3448276,10.3448276,52.8843522,47.1156478,83.3333333,83.3333333,100,10.3448276,2.3809524,16.6666667,14.2857143,0,42.8571429,28.5714286,0,14.2857143,0,0,0,0,0,28.5714286,0,0,3.03030303,7.1428571,60,0,0,10,70,40,0,63.7931034,8.6206897,8.6206897,96.5517241,3.4482759,0,70.6896552,98.2758621,70.6896552,98.2758621,68.627451,3.9215686,0,0,0,0,0,41.1764706,31.372549,0,0,96.5517241,41.3793103,8.6206897,6.8965517,8.6206897,13.7931034,93.1034483,100,34.4827586,84.4827586,98.2758621,96.5517241,81.0344828,60,30,89.6551724,58.6206897,79.3103448,12.0689655,3.4482759,94.8275862,13.7931034,46.5517241,60.3448276,6.8965517,8.6206897,51.7241379,14.5454545,0,0,0,25,75,0,0,0,0,0,46.5517241,1.7241379,22.4137931,1.7241379,31.0344828,0,0,0,0,0,0,91.3793103,91.3793103,0,0,0,0,0,0,0,0,0,36.2068966,10.3448276,98.1818182,82,92.6829268,90,0,20,40,0,10,80,10,0,20,20,0,0,0,0,2.0833333,0,0,4.1666667,0,0,0,0,2.0833333,43.75,56.25,64.5833333,0,41.6666667,0,2.0833333,0,0,0,22.9166667,35.4166667,2.0833333,0,0,64.5833333,0,44.8275862,0,100,0,44.8275862,89.6551724,5.1724138,8.6206897,8.6206897,50,53.4482759,0,10.3448276,1.7241379,1.7241379,5.1724138,82.7586207,41.3793103,13.7931034,44.8275862,1.7241379,0,6.8965517,29.3103448,0,0,53.4482759,41.3793103,53.4482759,56.8965517,6.8965517,29.3103448,13.7931034,0,0,1.7241379,0,0,0,0,0,1.7241379,0,100,0,0,0,0,0,100,0,0,100,0,0,100,18.9655172,1,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Shikhan,7.402515723,6.169811321,39.8322869,51.9030899,8.2646232,9.4202899,10.1449275,51.0658192,48.9341808,59.2920354,62.8318584,88.0503145,26.4150943,4.4247788,36.2831858,6.5217391,0,50,4.3478261,17.3913043,0,0,0,2.173913,8.6956522,2.173913,15.2173913,0,8.6956522,10.30927835,22.0779221,77.2727273,11.3636364,20.4545455,11.3636364,18.1818182,13.6363636,0,80.5031447,18.8679245,16.9811321,91.8238994,6.2893082,1.8867925,66.0377358,96.2264151,34.591195,93.081761,94.4,0,0,0,0.8,20,0,9.6,11.2,0,0,64.7798742,62.2641509,26.4150943,3.7735849,8.8050314,6.2893082,100,76.1006289,25.7861635,96.2264151,93.7106918,88.6792453,71.6981132,54.5454545,76.2711864,78.6163522,69.8113208,72.9559748,37.7358491,1.8867925,91.1949686,12.5786164,44.6540881,82.3899371,13.2075472,2.5157233,88.6792453,1.8867925,66.6666667,0,0,0,66.6666667,0,0,0,33.3333333,0,2.6315789,0,0.6410256,0.6451613,0,0,40.4761905,0,0,0,0,35.8490566,35.2201258,0,3.1446541,1.8987342,0,0.6329114,0,0,0.6289308,0,18.8679245,2.5157233,100,94.7368421,88.28125,33.3333333,0,0,16.6666667,0,16.6666667,33.3333333,16.6666667,0,50,0,0,33.3333333,0,0,57.5163399,9.8039216,11.7647059,15.6862745,0.6535948,0,0,0,0,3.9215686,17.6470588,37.9084967,1.9607843,4.5751634,0,18.3006536,0.6535948,5.2287582,1.9607843,0.6535948,10.4575163,0,0,0,39.2156863,11.7647059,6.918239,0,44.4444444,16.3522013,5.6603774,52.2012579,5.0314465,3.7735849,6.2893082,39.6226415,63.5220126,4.4025157,1.2578616,0,0.6289308,8.8050314,79.245283,26.4150943,12.5786164,3.1446541,1.2578616,0,0.6289308,8.1761006,0,0,22.0125786,45.2830189,49.0566038,43.3962264,2.5157233,22.6415094,1.8867925,1.8867925,0,7.5471698,0,0,0,0,0,5.6603774,33.3333333,66.6666667,0,0,0,0,44.4444444,22.2222222,0,0,100,0,0,44.4444444,13.2075472,0,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Aqra,8.402714932,6.601809955,45.423605,49.2458566,5.3305384,7.7720207,5.1813472,50.7483063,49.2516937,57.8947368,58.4795322,94.5701357,19.4570136,1.754386,40.9356725,16.6666667,1.3888889,27.7777778,9.7222222,11.1111111,0,2.7777778,0,6.9444444,11.1111111,2.7777778,18.0555556,1.3888889,11.1111111,9.574468085,20,84.2105263,18.4210526,23.6842105,5.2631579,13.1578947,5.2631579,2.6315789,79.1855204,22.1719457,16.2895928,93.2126697,4.9773756,1.8099548,62.8959276,96.3800905,40.7239819,96.3800905,93.125,3.125,0,0,0,21.25,0,12.5,6.875,0.625,0,73.7556561,55.6561086,20.361991,2.7149321,5.4298643,7.239819,100,85.520362,9.5022624,100,94.1176471,89.1402715,71.4932127,70,75.4491018,77.6255708,71.3636364,77.3755656,50.678733,0,90.4977376,4.0723982,60.6334842,66.0633484,4.5248869,2.2624434,85.9728507,3.196347,28.5714286,0,0,14.2857143,57.1428571,0,0,0,0,0,1.3953488,0.9174312,0.913242,0.4524887,0,0,31.1111111,0.9090909,0.9090909,0,0,45.2488688,44.3438914,2.7149321,0.9090909,0.9090909,0,0,0,0,0,0,19.4570136,6.3348416,100,98.5148515,93.1034483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.8130841,21.0280374,12.6168224,21.9626168,0.9345794,0,0,0,0,7.4766355,14.953271,14.0186916,2.3364486,8.8785047,0,10.2803738,0,6.0747664,0.9345794,0.9345794,12.6168224,0.9345794,0,0,16.3551402,12.6168224,2.7149321,0,30,19.4570136,6.3348416,50.2262443,1.3574661,1.3574661,2.2624434,39.3665158,70.5882353,2.7149321,1.3574661,0,0.9049774,8.5972851,75.5656109,23.0769231,14.9321267,4.9773756,1.8099548,0.9049774,0,3.6199095,0,0,15.3846154,49.7737557,54.2986425,42.9864253,1.8099548,19.0045249,1.8099548,2.2624434,1.8099548,4.0723982,0,0,0,0,0,9.0497738,25,10,0,0,0,35,5,35,0,0,90,5,0,35.2941176,7.6923077,0,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Sinjar,6.119402985,6.119402985,45.8660162,51.88274,2.2512438,4.5454545,4.5454545,54.7151149,45.2848851,85.1851852,85.1851852,88.0597015,22.3880597,5.5555556,14.8148148,25,0,50,0,0,0,0,0,0,0,0,50,0,0,11.62790698,16.6666667,75,0,0,20,45,25,0,56.7164179,4.4776119,2.9850746,97.0149254,2.9850746,0,92.5373134,98.5074627,59.7014925,98.5074627,60,0,0,0,0,4.4444444,0,53.3333333,24.4444444,0,0,64.1791045,40.2985075,5.9701493,2.9850746,8.9552239,5.9701493,64.1791045,95.5223881,56.7164179,94.0298507,95.5223881,95.5223881,73.1343284,100,28.3333333,95.5223881,49.2537313,53.7313433,10.4477612,1.4925373,94.0298507,19.4029851,44.7761194,64.1791045,2.9850746,16.4179104,71.641791,17.9104478,8.3333333,16.6666667,0,0,75,0,0,0,0,0,27.6923077,0,4.6875,0,23.8095238,0,25,0,0,0,0,91.0447761,91.0447761,0,0,0,0,0,0,0,0,0,26.8656716,17.9104478,91.8032787,81.0344828,78.2608696,26.6666667,0,26.6666667,13.3333333,0,6.6666667,80,13.3333333,0,6.6666667,0,0,13.3333333,6.6666667,0,3.8461538,1.9230769,0,3.8461538,0,0,0,1.9230769,1.9230769,48.0769231,32.6923077,34.6153846,0,7.6923077,0,5.7692308,1.9230769,0,0,25,28.8461538,0,0,0,34.6153846,0,26.8656716,4.6511628,50,2.9850746,7.4626866,74.6268657,49.2537313,22.3880597,7.4626866,20.8955224,62.6865672,0,5.9701493,0,0,8.9552239,68.6567164,41.7910448,10.4477612,38.8059701,8.9552239,0,32.8358209,38.8059701,1.4925373,0,37.3134328,58.2089552,74.6268657,38.8059701,1.4925373,7.4626866,20.8955224,0,0,10.4477612,0,0,0,0,2.9850746,2.9850746,0,100,0,0,0,50,0,0,0,0,100,0,0,50,14.9253731,1,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Telafar,6.467741935,6.483870968,44.8624628,51.1417615,3.9957757,8.0645161,6.4516129,50.9507965,49.0492035,79.5454545,79.5454545,95.1612903,30.6451613,0,20.4545455,0,0,44.4444444,0,0,0,0,0,11.1111111,11.1111111,11.1111111,44.4444444,0,0,6.060606061,40,71.4285714,0,0,0,50,14.2857143,0,40.3225806,4.8387097,6.4516129,100,0,0,69.3548387,96.7741935,53.2258065,96.7741935,71.7948718,2.5641026,0,2.5641026,0,2.5641026,0,69.2307692,20.5128205,5.1282051,2.5641026,59.6774194,41.9354839,9.6774194,1.6129032,1.6129032,4.8387097,75.8064516,93.5483871,58.0645161,79.0322581,91.9354839,100,59.6774194,50,21.8181818,90.3225806,53.2258065,62.9032258,9.6774194,0,96.7741935,17.7419355,35.483871,66.1290323,11.2903226,17.7419355,72.5806452,11.2903226,28.5714286,0,0,14.2857143,85.7142857,0,0,0,0,0,31.0344828,0,8.3333333,0,21.4285714,0,16.6666667,0,0,0,0,90.3225806,90.3225806,0,0,0,0,0,0,0,0,0,27.4193548,12.9032258,100,94,74.4680851,0,0,0,75,0,0,75,0,0,50,25,0,0,25,0,3.4482759,3.4482759,1.7241379,8.6206897,0,0,0,0,0,39.6551724,37.9310345,41.3793103,5.1724138,8.6206897,0,1.7241379,1.7241379,1.7241379,0,22.4137931,39.6551724,0,0,0,44.8275862,1.7241379,30.6451613,2.3255814,#N/A,8.0645161,12.9032258,82.2580645,27.4193548,30.6451613,3.2258065,30.6451613,56.4516129,0,3.2258065,0,0,8.0645161,53.2258065,46.7741935,22.5806452,40.3225806,1.6129032,0,25.8064516,35.483871,0,0,38.7096774,58.0645161,74.1935484,48.3870968,0,6.4516129,19.3548387,0,0,11.2903226,0,0,0,1.6129032,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.516129,1,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Tilkaef,5.578947368,5.578947368,45.3846738,51.1530721,3.4622541,10.5263158,10.5263158,50.6423255,49.3576745,79.4871795,79.4871795,96.4912281,8.7719298,0,20.5128205,25,0,12.5,12.5,0,0,0,0,0,12.5,0,50,0,0,11.76470588,25,50,0,0,33.3333333,100,50,0,50.877193,8.7719298,5.2631579,96.4912281,3.5087719,0,75.4385965,92.9824561,68.4210526,92.9824561,78.2608696,4.3478261,0,2.173913,0,6.5217391,0,45.6521739,23.9130435,2.173913,0,92.9824561,35.0877193,12.2807018,0,5.2631579,1.754386,96.4912281,98.245614,35.0877193,80.7017544,100,96.4912281,75.4385965,83.3333333,33.9622642,89.4736842,50.877193,71.9298246,21.0526316,5.2631579,96.4912281,15.7894737,47.3684211,47.3684211,8.7719298,0,56.1403509,5.4545455,0,0,0,0,100,0,0,0,0,0,48.2142857,1.754386,26.3157895,0,32.1428571,0,28.5714286,0,0,0,0,91.2280702,91.2280702,0,0,0,0,0,0,0,0,0,38.5964912,7.0175439,100,85.4166667,100,14.2857143,0,14.2857143,28.5714286,0,0,71.4285714,0,0,0,0,0,14.2857143,0,0,12,0,0,6,0,0,0,0,0,26,48,56,2,28,0,10,0,2,2,38,44,0,0,0,58,0,29.8245614,0,#N/A,5.2631579,49.122807,80.7017544,1.754386,1.754386,7.0175439,35.0877193,70.1754386,0,14.0350877,0,1.754386,5.2631579,70.1754386,52.6315789,14.0350877,40.3508772,0,3.5087719,10.5263158,40.3508772,7.0175439,0,45.6140351,49.122807,43.8596491,52.6315789,10.5263158,28.0701754,19.2982456,1.754386,0,1.754386,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.7894737,1,NA,NA,NA,NA,NA,NA,NA,NA
Salah Al-Din,Balad,5.762711864,5.372881356,34.0160075,57.4387947,8.5451977,10.3448276,8.4745763,51.2079634,48.7920366,86.4864865,86.4864865,94.9152542,1.6949153,5.4054054,13.5135135,0,20,40,0,0,0,0,0,0,20,0,20,0,0,8.108108108,17.6470588,50,0,16.6666667,16.6666667,58.3333333,16.6666667,0,55.9322034,15.2542373,5.0847458,84.7457627,15.2542373,0,89.8305085,100,50.8474576,100,20.5882353,2.9411765,0,0,2.9411765,2.9411765,0,23.5294118,5.8823529,0,0,13.559322,61.0169492,10.1694915,3.3898305,1.6949153,5.0847458,93.220339,93.220339,57.6271186,100,88.1355932,93.220339,67.7966102,80,72.0930233,86.440678,38.9830508,50.8474576,18.6440678,1.6949153,96.6101695,10.1694915,47.4576271,100,11.8644068,5.0847458,37.2881356,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,50,5.0847458,5.0847458,0,9.8039216,0,0,0,1.6949153,0,1.6949153,0,0,0,0,1.6949153,20.3389831,3.3898305,100,92.1052632,97.0588235,40,0,0,20,0,40,80,0,0,0,0,0,0,0,0,6.5217391,0,0,2.173913,2.173913,0,0,0,0,52.173913,34.7826087,65.2173913,2.173913,26.0869565,2.173913,4.3478261,0,6.5217391,0,2.173913,32.6086957,0,0,0,67.3913043,0,37.2881356,4.1666667,50,33.8983051,27.1186441,40.6779661,18.6440678,32.2033898,6.779661,44.0677966,37.2881356,15.2542373,3.3898305,0,1.6949153,0,42.3728814,10.1694915,16.9491525,59.3220339,30.5084746,38.9830508,3.3898305,25.4237288,11.8644068,6.779661,44.0677966,25.4237288,61.0169492,33.8983051,33.8983051,30.5084746,1.6949153,0,0,1.6949153,3.3898305,10.1694915,3.3898305,3.3898305,0,6.779661,0,100,0,0,0,0,0,0,0,0,100,0,0,100,49.1525424,1,NA,NA,NA,NA,NA,NA,NA,NA
Salah Al-Din,Samarra,6.385964912,5.473684211,33.1371991,64.0480621,2.8147389,5.2631579,5.2631579,48.2341586,51.7658414,90,90,100,12.2807018,2.5,10,75,25,0,0,0,0,0,0,0,25,0,25,0,0,4.761904762,0,75,0,25,25,25,0,0,54.3859649,26.3157895,21.0526316,84.2105263,15.7894737,0,100,100,78.9473684,100,20.5128205,0,0,0,0,0,0,23.0769231,15.3846154,5.1282051,0,56.1403509,59.6491228,7.0175439,0,0,22.8070175,100,100,22.8070175,100,84.2105263,98.245614,21.0526316,33.3333333,38.4615385,75,64.9122807,59.6491228,10.5263158,1.754386,100,7.0175439,70.1754386,73.6842105,19.2982456,3.5087719,14.0350877,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.2631579,0,3.5087719,1.754386,0,0,75,1.754386,1.754386,0,0,40.3508772,29.8245614,0,3.5087719,3.5087719,0,0,0,0,0,0,24.5614035,5.2631579,97.9166667,73.9130435,82.3529412,86.6666667,33.3333333,13.3333333,13.3333333,0,0,26.6666667,0,0,0,0,0,0,0,0,63.8888889,13.8888889,5.5555556,0,8.3333333,5.5555556,5.5555556,5.5555556,0,27.7777778,8.3333333,25,5.5555556,8.3333333,0,2.7777778,0,8.3333333,2.7777778,8.3333333,13.8888889,0,0,0,27.7777778,5.5555556,24.5614035,0,85.7142857,36.8421053,26.3157895,47.3684211,28.0701754,36.8421053,10.5263158,29.8245614,42.1052632,1.754386,3.5087719,1.754386,0,3.5087719,49.122807,21.0526316,26.3157895,57.8947368,49.122807,14.0350877,12.2807018,17.5438596,5.2631579,0,49.122807,52.6315789,73.6842105,28.0701754,7.0175439,12.2807018,10.5263158,3.5087719,1.754386,21.0526316,5.2631579,1.754386,0,0,0,12.2807018,28.5714286,100,0,0,0,14.2857143,0,0,0,0,100,0,0,100,50.877193,1,NA,NA,NA,NA,NA,NA,NA,NA
Salah Al-Din,Tikrit,6.421052632,6.403508772,46.2400222,51.5495275,2.2104504,14.5454545,14.5454545,48.773108,51.226892,76.5957447,78.7234043,98.245614,35.0877193,6.3829787,21.2765957,18.1818182,9.0909091,27.2727273,0,9.0909091,0,0,0,0,27.2727273,0,18.1818182,0,18.1818182,18.91891892,33.3333333,66.6666667,6.6666667,6.6666667,13.3333333,73.3333333,13.3333333,0,47.3684211,7.0175439,8.7719298,96.4912281,3.5087719,0,92.9824561,100,68.4210526,100,41.9354839,0,0,0,0,0,3.2258065,51.6129032,32.2580645,3.2258065,0,63.1578947,35.0877193,12.2807018,3.5087719,5.2631579,5.2631579,100,98.245614,56.1403509,87.7192982,94.7368421,96.4912281,71.9298246,75,25.5319149,66.6666667,45.6140351,63.1578947,14.0350877,0,98.245614,7.0175439,56.1403509,80.7017544,12.2807018,3.5087719,56.1403509,14.0350877,37.5,0,0,0,50,0,12.5,0,0,0,9.0909091,1.754386,5.5555556,1.754386,3.6363636,0,28.5714286,0,0,0,0,89.4736842,84.2105263,0,0,0,0,0,0,0,0,0,35.0877193,7.0175439,100,84.0909091,70.2702703,50,10,0,50,0,0,60,0,0,30,0,0,10,10,0,2.173913,0,0,0,0,0,0,0,0,54.3478261,28.2608696,47.826087,0,26.0869565,0,4.3478261,8.6956522,4.3478261,4.3478261,8.6956522,15.2173913,0,0,0,47.826087,0,28.0701754,0,0,5.2631579,14.0350877,73.6842105,7.0175439,38.5964912,3.5087719,29.8245614,43.8596491,0,0,0,0,15.7894737,82.4561404,40.3508772,22.8070175,42.1052632,8.7719298,0,10.5263158,14.0350877,0,0,49.122807,43.8596491,73.6842105,40.3508772,1.754386,10.5263158,3.5087719,0,0,10.5263158,0,0,0,0,1.754386,1.754386,0,0,0,0,0,0,100,0,0,0,100,0,0,0,17.5438596,1,NA,NA,NA,NA,NA,NA,NA,NA
Salah Al-Din,Tooz Khurmato,4.984126984,5.698412698,46.283441,51.263113,2.453446,8.4745763,6.779661,45.6109565,54.3890435,78.5714286,79.5918367,99.2063492,40.4761905,4.0816327,10.2040816,36.3636364,18.1818182,18.1818182,0,0,0,9.0909091,27.2727273,9.0909091,9.0909091,0,18.1818182,0,0,11.26760563,43.3333333,89.5833333,18.75,27.0833333,4.1666667,33.3333333,14.5833333,0,62.6984127,14.2857143,5.5555556,96.031746,3.968254,0,96.8253968,100,50,100,67.3469388,8.1632653,2.0408163,6.122449,8.1632653,0,0,14.2857143,26.5306122,0,2.0408163,60.3174603,27.7777778,8.7301587,3.1746032,1.5873016,6.3492063,100,93.6507937,72.2222222,71.4285714,83.3333333,81.7460317,74.6031746,83.3333333,37.2093023,74.6031746,67.4603175,76.1904762,7.1428571,0,99.2063492,4.7619048,52.3809524,84.9206349,28.5714286,10.5263158,54.7619048,3.7037037,100,25,0,0,25,0,0,0,0,0,23.853211,14.159292,2.6785714,0,7.8947368,0,18.1818182,0,0,0,0,37.3015873,34.1269841,1.5873016,0,0,0,0,0,0,0,0,23.8095238,16.6666667,100,96.7032967,49.1803279,85.7142857,14.2857143,28.5714286,14.2857143,28.5714286,42.8571429,14.2857143,14.2857143,0,0,0,0,0,0,0,35.6521739,17.3913043,13.9130435,9.5652174,2.6086957,0.8695652,0,0.8695652,2.6086957,49.5652174,24.3478261,41.7391304,0.8695652,0,0,0.8695652,0.8695652,0,0.8695652,0,0,0,3.4782609,5.2173913,41.7391304,13.9130435,21.4285714,0,#N/A,47.6190476,43.6507937,76.1904762,21.4285714,49.2063492,5.5555556,7.1428571,13.4920635,0.7936508,1.5873016,0,0,0,79.3650794,43.6507937,20.6349206,25.3968254,10.3174603,15.8730159,0,23.8095238,0.7936508,0,43.6507937,38.0952381,19.047619,48.4126984,39.6825397,15.8730159,31.7460317,9.5238095,0.7936508,0,0.7936508,0.7936508,5.5555556,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.984127,0,NA,NA,NA,NA,NA,NA,NA,NA
Thi-Qar,Al-Nasiriya,5.2,5.116666667,41.8386243,50.9900794,7.1712963,16.6666667,13.3333333,44.4748677,55.5251323,93.4782609,95.6521739,95,10,2.173913,4.3478261,0,0,66.6666667,0,0,0,0,0,0,33.3333333,0,66.6666667,0,0,7.317073171,6.6666667,81.8181818,18.1818182,0,0,63.6363636,27.2727273,0,66.6666667,16.6666667,5,91.6666667,8.3333333,0,90,100,51.6666667,100,42.5531915,0,0,2.1276596,0,12.7659574,0,31.9148936,14.893617,0,0,26.6666667,56.6666667,5,3.3333333,8.3333333,3.3333333,95,98.3333333,56.6666667,96.6666667,90,96.6666667,51.6666667,87.5,60,81.6666667,38.3333333,55,28.3333333,3.3333333,100,1.6666667,40,78.3333333,13.3333333,0,31.6666667,6.6666667,50,25,0,0,25,0,0,0,0,0,10,5,6.6666667,0,8.3333333,0,100,1.6666667,1.6666667,0,1.8867925,31.6666667,28.3333333,0,0,0,0,0,0,0,0,0,33.3333333,1.6666667,100,92.5925926,98,60,0,40,40,0,0,40,20,0,20,20,0,0,0,0,7.8431373,0,1.9607843,0,0,0,0,1.9607843,0,41.1764706,47.0588235,39.2156863,0,23.5294118,0,1.9607843,0,3.9215686,0,11.7647059,39.2156863,0,0,0,39.2156863,1.9607843,23.3333333,6.6666667,75,18.3333333,46.6666667,66.6666667,16.6666667,28.3333333,5,28.3333333,36.6666667,6.6666667,6.6666667,0,0,3.3333333,63.3333333,31.6666667,10,40,15,16.6666667,6.6666667,28.3333333,6.6666667,0,41.6666667,56.6666667,33.3333333,63.3333333,23.3333333,21.6666667,6.6666667,1.6666667,0,1.6666667,1.6666667,0,0,0,0,6.6666667,0,100,0,0,0,0,0,25,0,0,100,0,0,75,43.3333333,1,NA,NA,NA,NA,NA,NA,NA,NA
Wassit,Al-Kut,4.465909091,4.465909091,40.2002165,55.4626623,4.3371212,12.0481928,7.2289157,45.3598485,54.6401515,87.7192982,87.7192982,100,11.3636364,3.5087719,12.2807018,0,0,85.7142857,14.2857143,0,0,0,0,0,0,0,0,14.2857143,0,5.454545455,9.0909091,100,0,25,0,25,25,0,52.2727273,7.9545455,3.4090909,100,0,0,93.1818182,100,44.3181818,100,16.3636364,1.8181818,0,0,0,0,0,5.4545455,0,0,0,67.0454545,25,0,0,1.1363636,21.5909091,100,97.7272727,54.5454545,100,100,95.4545455,26.1363636,16.6666667,46.4788732,95.4545455,4.5454545,20.4545455,55.6818182,0,100,1.1363636,79.5454545,92.0454545,5.6818182,2.2727273,54.5454545,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,#N/A,0,0,0,0,70.4545455,68.1818182,0,1.1363636,0,0,0,0,0,1.1363636,0,14.7727273,2.2727273,100,100,97.9166667,25,50,62.5,12.5,0,0,0,0,0,0,0,0,0,0,0,28.1690141,22.5352113,26.7605634,21.1267606,1.4084507,0,0,0,0,57.7464789,57.7464789,47.8873239,2.8169014,5.6338028,2.8169014,1.4084507,0,9.8591549,0,0,8.4507042,0,0,0,49.2957746,26.7605634,26.1363636,#N/A,#N/A,19.3181818,5.6818182,62.5,1.1363636,59.0909091,10.2272727,30.6818182,69.3181818,3.4090909,4.5454545,5.6818182,0,0,70.4545455,39.7727273,12.5,40.9090909,12.5,37.5,9.0909091,18.1818182,1.1363636,0,35.2272727,52.2727273,44.3181818,79.5454545,9.0909091,25,15.9090909,9.0909091,0,5.6818182,0,0,0,0,1.1363636,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47.7272727,0,NA,NA,NA,NA,NA,NA,NA,NA
