ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g94,g96,g97,g99,g98,b1,b3,g46,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a28,g74,f7,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d8_i,d8_ii,d8_iii,d8_iv,d8_v,d8_vi,d8_vii,d8_viii,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative,a22,a24,a25,a29,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_vii,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxii,a15_xxiii,a15_xxiv,g67,g73,g73
Diyala,Al-Muqdadiya,5.345238095,5.345238095,41.7691799,53.4542706,4.7765495,24.6753247,23.3766234,50.4672147,49.5327853,90,90,92.8571429,13.0952381,1.4285714,10,14.2857143,0,57.1428571,0,28.5714286,0,0,0,0,0,0,0,0,0,3.333333333,18.1818182,81.25,18.75,0,6.25,56.25,31.25,0,46.4285714,8.3333333,7.1428571,97.6190476,2.3809524,0,88.0952381,94.047619,46.4285714,94.047619,35.483871,1.6129032,0,1.6129032,0,3.2258065,0,29.0322581,17.7419355,1.6129032,0,19.047619,69.047619,8.3333333,4.7619048,5.952381,7.1428571,98.8095238,97.6190476,71.4285714,100,92.8571429,95.2380952,60.7142857,68.75,71.875,92.8571429,64.2857143,66.6666667,27.3809524,0,97.6190476,1.1904762,33.3333333,92.8571429,19.047619,15.4761905,10.7142857,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3513514,0,1.2987013,0,0,0,28.5714286,1.1904762,1.1904762,0,3.8961039,3.5714286,2.3809524,1.1904762,0,0,0,0,0,0,0,0,15.4761905,86.9047619,46.4285714,0,0,33.3333333,33.3333333,42.8571429,33.3333333,39.2857143,8.3333333,46.4285714,19.047619,8.3333333,3.5714286,0,0,0,36.3636364,0,0,63.6363636,36.3636364,45.4545455,9.0909091,45.4545455,0,9.0909091,68.4931507,69.8630137,27.3972603,24.6575342,38.3561644,2.739726,10.9589041,5.4794521,41.6666667,29.7619048,70.2380952,38.0952381,22.6190476,38.0952381,7.1428571,0,0,3.5714286,2.3809524,7.1428571,1.1904762,7.1428571,1.1904762,3.5714286,0,100,0,0,0,0,0,0,0,0,100,0,0,0,54.7619048,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diyala,Khanaqin,5.029126214,4.970873786,41.0186469,53.1237479,5.8576052,16.1616162,16,45.0681923,54.9318077,87.8787879,90.9090909,93.2038835,5.8252427,3.030303,9.0909091,0,0,0,0,50,0,0,0,0,12.5,37.5,0,0,0,3.278688525,5.4054054,94.1176471,5.8823529,11.7647059,11.7647059,70.5882353,11.7647059,0,67.961165,1.9417476,0.9708738,86.407767,13.592233,0,88.3495146,98.0582524,69.9029126,98.0582524,32.4324324,0,0,0,0,1.3513514,0,31.0810811,13.5135135,2.7027027,0,6.7961165,45.631068,8.7378641,6.7961165,14.5631068,4.8543689,100,95.1456311,50.4854369,100,95.1456311,100,80.5825243,93.75,79.4520548,97.0873786,44.6601942,36.8932039,46.6019417,3.8834951,98.0582524,1.9417476,48.5436893,98.0582524,8.7378641,4.8543689,41.7475728,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0.990099,0,0,0,55.5555556,3.8834951,3.8834951,0,1.9607843,3.8834951,2.9126214,1.9417476,0,0,0,0,0,0,0,0,38.8349515,88.3495146,58.2524272,0,53.3333333,35.9223301,20.3883495,33.9805825,17.4757282,37.8640777,4.8543689,39.8058252,47.5728155,16.5048544,6.7961165,0,0,0,11.1111111,11.1111111,0,33.3333333,33.3333333,88.8888889,0,0,0,0,60.6382979,60.6382979,32.9787234,23.4042553,44.6808511,4.2553191,11.7021277,14.893617,33.0097087,37.8640777,47.5728155,61.1650485,51.4563107,19.4174757,0,0.9708738,0,2.9126214,1.9417476,6.7961165,0,0,0,14.5631068,13.3333333,100,0,0,0,0,0,0,0,0,100,0,0,53.3333333,51.4563107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirkuk,Al-Hawiga,5.372340426,5.378947368,43.0495937,53.1960204,3.754386,17.3913043,17.3913043,53.5920863,46.4079137,81.25,89.0625,98.9473684,5.2631579,12.5,10.9375,0,0,8.3333333,0,0,0,0,0,0,8.3333333,0,75,0,8.3333333,22.64150943,26.9230769,70.8333333,0,0,8.3333333,0,0,20.8333333,84.2105263,25.2631579,2.1052632,100,0,0,43.1578947,78.9473684,43.1578947,78.9473684,90.4109589,0,0,0,0,0,0,1.369863,0,0,0,80,50.5263158,12.6315789,1.0526316,0,5.2631579,84.2105263,97.8947368,37.8947368,100,91.5789474,100,78.9473684,86.6666667,63.4146341,94.7368421,44.2105263,67.3684211,43.1578947,0,86.3157895,6.3157895,80,100,0,3.1578947,64.2105263,1.0526316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.4516129,6.3157895,5.2631579,4.2105263,6.4516129,0,33.3333333,0,0,0,0,49.4736842,49.4736842,0,0,0,0,0,0,0,0,0,55.7894737,97.8947368,54.7368421,0,#N/A,36.8421053,3.1578947,62.1052632,4.2105263,9.4736842,3.1578947,58.9473684,91.5789474,21.0526316,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,92.6315789,21.0526316,94.7368421,2.1052632,0,23.1578947,3.1578947,5.2631579,91.5789474,36.8421053,3.1578947,84.2105263,2.1052632,27.3684211,2.1052632,0,0,10.5263158,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54.7368421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirkuk,Daquq,5.5,5.203539823,43.2632743,49.659889,7.0768366,13.2743363,13.2743363,48.4453575,51.5546425,82.6086957,84.057971,78.7610619,5.3097345,1.4492754,15.942029,8.3333333,0,8.3333333,8.3333333,8.3333333,0,0,0,0,0,25,66.6666667,0,16.6666667,5.454545455,9.5238095,25,25,0,50,50,25,0,56.6371681,2.6548673,7.9646018,100,0,0,51.3274336,51.3274336,50.4424779,51.3274336,59.7222222,0,0,0,0,11.1111111,0,18.0555556,22.2222222,1.3888889,0,99.1150442,28.3185841,2.6548673,0.8849558,0,7.079646,100,99.1150442,53.0973451,98.2300885,100,100,63.7168142,64.2857143,55.1724138,89.380531,38.0530973,38.0530973,25.6637168,0.8849558,71.6814159,11.5044248,64.6017699,52.2123894,12.3893805,0,59.2920354,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.5840708,0,4.4247788,8.8495575,14.159292,0,100,0,0,0,0,20.3539823,16.8141593,0.8849558,0,0,0,0,0,0,0,0,42.4778761,100,38.9380531,0,#N/A,27.4336283,19.4690265,67.2566372,2.6548673,1.7699115,0.8849558,64.6017699,63.7168142,6.1946903,11.5044248,0,0,5.3097345,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,89.380531,70.7964602,65.4867257,3.539823,7.9646018,0,0,0,57.5221239,84.9557522,29.2035398,81.4159292,5.3097345,1.7699115,0,0,0,6.1946903,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.1061947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirkuk,Dibis,4.761658031,4.78238342,35.4182087,58.2202484,6.3615429,15.0537634,16.6666667,48.5884941,51.4115059,91.2280702,91.2280702,94.8186528,6.2176166,4.3859649,8.7719298,0,0,10,40,0,0,0,0,0,10,0,50,0,40,6.956521739,9.2307692,65.5172414,3.4482759,0,24.137931,58.6206897,10.3448276,0,37.8238342,3.626943,2.0725389,100,0,0,12.4352332,98.9637306,6.2176166,98.4455959,48.8372093,0.7751938,0,1.5503876,1.5503876,8.5271318,0,17.8294574,17.8294574,0.7751938,2.3255814,88.6010363,43.5233161,7.7720207,0,0,0.5181347,100,99.4818653,29.015544,100,98.9637306,100,41.5789474,56,55.9210526,78.0104712,19.7916667,29.015544,25.9067358,1.5544041,98.9637306,4.6632124,77.2020725,31.0880829,1.5544041,0.5181347,40.9326425,0.5208333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5235602,0,0,0,0.5181347,0,20,0,0,0,0,14.507772,13.4715026,0.5181347,0.5181347,0,0,0,0,0.5181347,0,0,35.7512953,98.9637306,14.507772,0,#N/A,19.1709845,8.2901554,51.8134715,6.2176166,6.2176166,0.5181347,57.5129534,41.9689119,15.0259067,1.5544041,0.5181347,0,17.6165803,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,87.0466321,44.5595855,63.2124352,4.1450777,0.5181347,0,1.5544041,0.5181347,57.5129534,49.7409326,31.0880829,67.8756477,13.4715026,7.7720207,0,2.0725389,3.1088083,12.4352332,0,0,0,0,0,1.0362694,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.3108808,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirkuk,Kirkuk,4.192307692,4.192307692,29.0396062,61.7754121,9.1849817,27.8846154,26.9230769,44.1151557,55.8848443,96.2962963,96.2962963,100,4.8076923,1.8518519,3.7037037,0,0,0,0,50,0,0,0,0,0,0,50,0,50,2.857142857,14.7058824,77.7777778,5.5555556,5.5555556,27.7777778,33.3333333,16.6666667,11.1111111,31.7307692,4.8076923,0,100,0,0,98.0769231,100,59.6153846,100,53.0864198,0,0,0,1.2345679,3.7037037,0,24.691358,17.2839506,0,0,94.2307692,55.7692308,3.8461538,0,0,1.9230769,100,98.0769231,43.2692308,99.0384615,98.0769231,100,51.9230769,70.8333333,60.6060606,75,36.5384615,31.7307692,26.9230769,0,100,0.9615385,87.5,35.5769231,1.9230769,0.9615385,44.2307692,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.970297,0,0,0,2.9411765,0,0,1.9230769,1.9230769,0,0,8.6538462,7.6923077,0,0.9615385,0.9615385,0,0,0,0,0,0,36.5384615,97.1153846,13.4615385,#N/A,#N/A,15.3846154,1.9230769,52.8846154,11.5384615,18.2692308,0,58.6538462,48.0769231,12.5,6.7307692,1.9230769,0,5.7692308,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,92.3076923,51.9230769,56.7307692,7.6923077,1.9230769,0,0,0,55.7692308,60.5769231,29.8076923,75.9615385,15.3846154,11.5384615,0,0,0,6.7307692,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.1153846,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Baaj,7.61038961,7.311688312,51.5759327,46.1262564,2.2978109,6.4935065,3.8961039,52.4138047,47.5861953,69.3548387,69.3548387,83.1168831,19.4805195,1.6129032,30.6451613,21.0526316,0,47.3684211,0,10.5263158,0,0,0,0,5.2631579,0,21.0526316,0,5.2631579,7.894736842,43.75,76.1904762,9.5238095,0,19.047619,38.0952381,4.7619048,0,58.4415584,10.3896104,3.8961039,98.7012987,1.2987013,0,83.1168831,89.6103896,33.7662338,89.6103896,65.4545455,3.6363636,0,3.6363636,0,1.8181818,0,60,12.7272727,0,0,68.8311688,36.3636364,6.4935065,3.8961039,6.4935065,6.4935065,15.5844156,88.3116883,41.5584416,77.9220779,85.7142857,96.1038961,70.1298701,100,50,93.4210526,61.038961,61.038961,16.8831169,0,84.4155844,20.7792208,38.961039,66.2337662,14.2857143,0,54.5454545,10.3896104,25,0,0,25,50,0,0,0,0,0,12.1621622,3.8961039,2.6315789,0,9.3333333,0,20,1.2987013,1.2987013,0,0,85.7142857,85.7142857,0,0,0,0,0,0,0,0,0,27.2727273,98.7012987,20.7792208,9.0909091,#N/A,0,9.0909091,48.0519481,63.6363636,31.1688312,6.4935065,38.961039,46.7532468,0,1.2987013,0,1.2987013,11.6883117,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.4155844,58.4415584,61.038961,11.6883117,7.7922078,10.3896104,0,0,27.2727273,54.5454545,67.5324675,38.961039,3.8961039,29.8701299,7.7922078,1.2987013,0,10.3896104,0,0,0,0,11.6883117,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.5844156,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Hamdaniya,5.736111111,5.652777778,44.7212471,48.4007004,6.8780525,9.7222222,6.9444444,49.7934473,50.2065527,83.6363636,83.6363636,97.2222222,19.4444444,3.6363636,16.3636364,0,0,55.5555556,0,22.2222222,0,0,0,0,11.1111111,0,22.2222222,0,0,8.333333333,9.0909091,64.2857143,14.2857143,0,0,57.1428571,21.4285714,0,36.1111111,4.1666667,6.9444444,98.6111111,1.3888889,0,84.7222222,95.8333333,63.8888889,95.8333333,60,4.4444444,0,0,0,0,0,51.1111111,24.4444444,0,0,65.2777778,38.8888889,8.3333333,2.7777778,5.5555556,0,95.8333333,97.2222222,59.7222222,100,97.2222222,97.2222222,48.6111111,80,20.3703704,95.8333333,44.4444444,27.7777778,12.5,0,97.2222222,1.3888889,73.6111111,45.8333333,0,0,41.6666667,2.7777778,0,0,0,0,50,50,0,0,0,0,30.5555556,5.7142857,4.2253521,2.7777778,25.3521127,0,16.6666667,0,0,0,0,88.8888889,88.8888889,1.3888889,0,0,0,0,0,0,0,0,23.6111111,95.8333333,19.4444444,3.125,0,0,5.5555556,72.2222222,5.5555556,30.5555556,11.1111111,34.7222222,58.3333333,0,1.3888889,0,0,8.3333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.4444444,59.7222222,55.5555556,15.2777778,1.3888889,33.3333333,0,1.3888889,48.6111111,41.6666667,73.6111111,26.3888889,1.3888889,31.9444444,26.3888889,1.3888889,0,2.7777778,0,0,0,0,5.5555556,6.9444444,0,100,0,0,0,0,0,0,0,0,80,0,0,0,13.8888889,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Hatra,6.689655172,6.689655172,51.2352901,46.8370279,1.927682,6.8965517,6.8965517,50.2965928,49.7034072,82.2222222,82.2222222,89.6551724,6.8965517,4.4444444,17.7777778,37.5,0,25,12.5,0,0,12.5,0,0,0,0,12.5,0,0,11.53846154,10,50,0,0,0,25,25,0,60.3448276,1.7241379,6.8965517,100,0,0,25.862069,87.9310345,15.5172414,87.9310345,63.0434783,4.3478261,0,0,0,13.0434783,0,47.826087,34.7826087,2.173913,0,84.4827586,32.7586207,8.6206897,3.4482759,5.1724138,5.1724138,20.6896552,84.4827586,48.2758621,74.137931,98.2758621,93.1034483,70.6896552,75,28.8461538,100,50,60.3448276,12.0689655,0,84.4827586,12.0689655,37.9310345,43.1034483,5.1724138,1.7241379,48.2758621,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.8275862,3.4482759,31.0344828,0,34.4827586,0,40,1.7241379,1.7241379,0,0,91.3793103,89.6551724,3.4482759,0,0,0,0,0,0,0,0,46.5517241,100,37.9310345,0,0,0,22.4137931,55.1724138,58.6206897,3.4482759,10.3448276,43.1034483,62.0689655,1.7241379,5.1724138,0,1.7241379,8.6206897,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,87.9310345,77.5862069,60.3448276,6.8965517,8.6206897,3.4482759,0,0,48.2758621,43.1034483,60.3448276,51.7241379,8.6206897,25.862069,10.3448276,0,0,1.7241379,0,1.7241379,0,0,0,3.4482759,0,0,100,0,0,0,0,100,0,0,100,0,0,0,13.7931034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Mosul,5.606557377,5.606557377,42.1407577,53.5179074,4.3413349,6.557377,4.9180328,53.1837994,46.8162006,93.877551,93.877551,100,8.1967213,4.0816327,6.122449,0,0,0,33.3333333,0,0,0,0,0,0,0,66.6666667,0,0,5.263157895,25,50,16.6666667,0,16.6666667,50,50,0,57.3770492,0,6.557377,98.3606557,1.6393443,0,59.0163934,98.3606557,45.9016393,98.3606557,68,0,0,0,0,2,0,44,22,0,0,93.442623,34.4262295,13.1147541,6.557377,1.6393443,8.1967213,93.442623,98.3606557,37.704918,81.9672131,98.3606557,100,75.4098361,100,19.6078431,95.0819672,49.1803279,55.7377049,16.3934426,0,98.3606557,3.2786885,52.4590164,47.5409836,3.2786885,3.2786885,32.7868852,1.6393443,0,0,0,0,100,0,0,0,0,0,41.6666667,3.2786885,19.6721311,1.6666667,29.5081967,0,25,0,0,0,0,88.5245902,88.5245902,1.6393443,0,0,0,0,0,0,0,0,36.0655738,98.3606557,39.3442623,0,50,0,29.5081967,73.7704918,4.9180328,11.4754098,4.9180328,63.9344262,65.5737705,3.2786885,6.557377,0,3.2786885,6.557377,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90.1639344,63.9344262,59.0163934,16.3934426,6.557377,16.3934426,0,0,50.8196721,40.9836066,55.7377049,49.1803279,13.1147541,32.7868852,9.8360656,0,0,4.9180328,0,0,0,0,0,6.557377,0,75,0,0,0,0,50,25,0,0,100,0,0,50,13.1147541,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Al-Shikhan,12.03125,7.484375,53.4363631,41.8105081,4.7531288,4.8387097,4.8387097,49.9326028,50.0673972,29.6296296,31.4814815,57.8125,39.0625,0,68.5185185,7.8947368,2.6315789,26.3157895,5.2631579,10.5263158,2.6315789,10.5263158,0,0,21.0526316,5.2631579,31.5789474,0,7.8947368,37.93103448,16.6666667,100,20,0,0,0,0,0,90.625,25,18.75,85.9375,7.8125,6.25,23.4375,57.8125,15.625,57.8125,82,0,0,0,0,48,0,16,12,0,0,67.1875,43.75,14.0625,0,1.5625,0,96.875,68.75,12.5,78.125,98.4375,76.5625,78.125,100,70.6896552,90.3225806,70.3125,71.875,40.625,10.9375,84.375,10.9375,46.875,85.9375,15.625,1.5625,92.1875,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,33.3333333,0,0,0,0,57.8125,57.8125,0,0,0,0,0,0,0,0,0,42.1875,96.875,18.75,0,38.4615385,7.8125,10.9375,56.25,17.1875,3.125,14.0625,26.5625,68.75,0,0,0,0,10.9375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.1875,1.5625,54.6875,0,7.8125,0,0,0,42.1875,51.5625,32.8125,57.8125,0,0,0,0,0,0,0,0,0,0,0,20.3125,7.6923077,92.3076923,0,0,0,0,0,7.6923077,0,0,92.3076923,7.6923077,0,45.4545455,1.5625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Sinjar,6.384615385,6.384615385,42.7467959,53.0438024,4.2094017,4.8387097,4.8387097,51.5331591,48.4668409,93.1818182,93.1818182,83.0769231,20,15.9090909,6.8181818,66.6666667,0,33.3333333,0,0,33.3333333,0,0,0,0,0,0,0,0,21.62162162,25,87.5,0,0,25,37.5,12.5,0,61.5384615,3.0769231,4.6153846,98.4615385,1.5384615,0,90.7692308,96.9230769,56.9230769,95.3846154,67.4418605,0,0,0,0,0,0,69.7674419,20.9302326,0,0,64.6153846,41.5384615,6.1538462,3.0769231,9.2307692,3.0769231,53.8461538,90.7692308,43.0769231,95.3846154,96.9230769,90.7692308,66.1538462,0,38.5964912,98.4615385,46.1538462,41.5384615,15.3846154,1.5384615,93.8461538,13.8461538,47.6923077,58.4615385,3.0769231,6.1538462,50.7692308,6.1538462,0,50,0,0,50,0,0,0,0,0,31.25,1.5384615,6.557377,0,23.8095238,0,50,0,0,0,0,93.8461538,90.7692308,0,0,0,0,0,0,0,0,0,32.3076923,95.3846154,26.1538462,0,0,0,6.1538462,69.2307692,64.6153846,16.9230769,1.5384615,20,61.5384615,1.5384615,0,0,0,6.1538462,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.6153846,49.2307692,52.3076923,15.3846154,0,27.6923077,0,0,44.6153846,53.8461538,76.9230769,16.9230769,0,20,21.5384615,0,0,6.1538462,0,0,0,0,4.6153846,7.6923077,0,100,0,0,0,0,0,0,0,0,100,0,0,0,10.7692308,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninewa,Telafar,6.75,6.733333333,51.7087542,45.9354257,2.3558201,8.4745763,6.779661,51.2337662,48.7662338,86,86,95,21.6666667,8,14,28.5714286,0,42.8571429,0,14.2857143,0,0,0,0,0,0,14.2857143,0,0,16.12903226,25,53.8461538,7.6923077,0,7.6923077,53.8461538,15.3846154,7.6923077,41.6666667,1.6666667,6.6666667,100,0,0,81.6666667,98.3333333,51.6666667,98.3333333,50.9803922,3.9215686,0,3.9215686,1.9607843,1.9607843,0,41.1764706,19.6078431,0,0,66.6666667,50,8.3333333,1.6666667,6.6666667,10,90,95,61.6666667,88.3333333,95,95,58.3333333,75,31.8181818,96.6666667,53.3333333,45,10,0,98.3333333,10,56.6666667,33.3333333,3.3333333,5,43.3333333,8.4745763,60,20,0,0,20,0,0,0,0,0,40,1.6666667,12.5,0,28.3333333,0,40,0,0,0,0,88.3333333,86.6666667,0,0,0,0,0,0,0,0,0,23.3333333,96.6666667,25,0,#N/A,0,10,61.6666667,25,40,5,28.3333333,55,1.6666667,8.3333333,0,1.6666667,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.3333333,55,65,5,3.3333333,31.6666667,0,0,36.6666667,58.3333333,65,30,0,23.3333333,30,0,0,1.6666667,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.3333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
